1.ID,2.Annotation,3.Chromsome,4.Start,5.End,6.Strand,7.GC,8.Identity,9.z_score,10.SCI,11.tblastx_score,12.polyA_RNAseq_MAX,13.small_RNAseq_SUM,14.small_RNAseq_MAX,15.Array_totalRNA_MAX,16.Array_polyA_MAX,17.Array_nonpolyA_MAX,18.histone_mark_only_clusters
bins_13428889,three_prime_UTR,chr1,177339327,177339435,-,0.412844036697248,55.96,-0.37,0.42,0,0.536929,0,0,771.298076923077,1713.76923076923,935.557692307692,no_match
bins_13014648,exon_CCDS,chr1,70515029,70515136,-,0.361111111111111,83.78,0.47,0.43,0.985915,0.184127,0,0,722.03125,642.03125,108.296875,no_match
bins_362350,five_prime_UTR,chr1,77105843,77105902,+,0.533333333333333,83.33,-0.08,0.42,0.452418,0.138653,0,0,349.233333333333,631.35,427.166666666667,no_match
bins_13082387,ncRNA_3019,chr1,84040219,84040306,-,0.352272727272727,53.41,-1.46,0.07,0,0.073949,0,0,83.6547619047619,67.1666666666667,47.5238095238095,no_match
bins_71149,exon_CCDS,chr1,17473678,17473764,+,0.597701149425287,77.01,1.31,0.37,0.657058,0,0,0,137.011904761905,152.261904761905,109.130952380952,no_match
bins_12814242,three_prime_UTR,chr1,32146875,32146986,-,0.366071428571429,85.71,0.31,0.57,0.638199,13.761091,0.931,99.665,1265.66304347826,5344.4347826087,1061.08695652174,no_match
bins_12779601,exon_CCDS,chr1,23291635,23291713,-,0.544303797468354,78.48,-1.33,0.28,0.474006,0.624219,1.319,16.091,227.095238095238,1080.92857142857,542.904761904762,no_match
bins_12830823,three_prime_UTR,chr1,35103582,35103666,-,0.541176470588235,81.18,-0.77,0.47,0.485341,0.349708,0,0,195.333333333333,34.9166666666667,28.6547619047619,no_match
bins_13028159,ancestral_repeat,chr1,73931965,73932099,-,0.340740740740741,67.39,-0.85,0.35,0.335361,0,0,0,0,0,0,no_match
bins_12983180,ancestral_repeat,chr1,63958497,63958618,-,0.524590163934426,59.54,0.59,0.40,0.480349,0.013932,0,0,181.0625,23.25,72.5625,no_match
bins_13539134,exon_CCDS,chr1,201416285,201416408,-,0.604838709677419,76.61,-1.89,0.48,0.934604,0.515301,0,0,24.6428571428571,1487.4375,102.196428571429,no_match
bins_13331757,three_prime_UTR,chr1,158920994,158921057,-,0.359375,45.45,-0.81,-0.00,0,0.573255,0,0,3237.64705882353,1883.30882352941,609.441176470588,no_match
bins_13064205,ancestral_repeat,chr1,81517387,81517519,-,0.458646616541353,57.43,-1.46,0.32,0.480585,0.006408,0,0,0,0,0,no_match
bins_360885,three_prime_UTR,chr1,76871281,76871392,+,0.446428571428571,58.04,0.14,0.29,0,0.039981,0,0,167.5,181.428571428571,188.285714285714,no_match
bins_13134748,three_prime_UTR,chr1,94767607,94767723,-,0.273504273504274,75.76,0.47,0.13,0.461985,12.173889,0,0,17.75,13461.8571428571,2456.80357142857,no_match
bins_766092,exon_CCDS,chr1,181039431,181039544,+,0.368421052631579,81.58,-0.62,0.45,0.84457,0.476534,0,0,245.398148148148,303.472222222222,204.731481481481,no_match
bins_66337,exon_CCDS,chr1,16249937,16250036,+,0.63,67.00,0.73,0.70,0.870149,0.105573,0,0,527.401041666667,468.822916666667,197.447916666667,no_match
bins_811026,ancestral_repeat,chr1,191633304,191633361,+,0.344827586206897,53.45,0.25,-0.00,0,0.038436,0,0,0,0,0,no_match
bins_83208,three_prime_UTR,chr1,20107446,20107525,+,0.4,42.86,-0.15,0.12,0,0.378244,0,0,427.02380952381,617.404761904762,179,no_match
bins_959433,ancestral_repeat,chr1,220637912,220638043,+,0.446969696969697,54.48,0.22,0.27,0.490088,0.024359,0,0,43.0909090909091,62.5,46.7045454545455,no_match
bins_13284318,three_prime_UTR,chr1,148181229,148181352,-,0.354838709677419,65.35,-0.34,0.45,0.527927,0.385524,0,0,497.038461538462,948.615384615385,483.576923076923,no_match
bins_12689671,three_prime_UTR,chr1,2430021,2430128,-,0.453703703703704,54.55,-0.06,0.33,0.364803,1.451109,0,0,1133.25,1251.14423076923,126.442307692308,no_match
bins_12739508,ancestral_repeat,chr1,14202882,14203029,-,0.351351351351351,55.03,-0.47,0.39,0,0.171577,0,0,0,0,0,no_match
bins_12791573,exon_CCDS,chr1,26238924,26239012,-,0.617977528089888,76.40,-0.23,0.59,0.659686,0.118484,0,0,197.444444444444,359.625,189.472222222222,no_match
bins_550936,ancestral_repeat,chr1,115366381,115366519,+,0.410071942446043,60.00,-1.17,0.55,0.361667,0,0,0,0,0,0,no_match
bins_54767,exon_CCDS,chr1,12902295,12902438,+,0.583333333333333,57.64,-0.59,0.36,0.416378,0.005644,0,0,68.3461538461538,23.4871794871795,17.9615384615385,no_match
bins_23024,five_prime_UTR,chr1,6017331,6017442,+,0.660714285714286,43.97,-2.45,0.22,0,0.047978,0,0,243.25,187.271739130435,121.978260869565,no_match
bins_881464,three_prime_UTR,chr1,205317124,205317254,+,0.435114503816794,65.65,-1.56,0.52,0.630617,0.759387,0,0,403.533333333333,331.366666666667,119.2,no_match
bins_13599257,ancestral_repeat,chr1,212412564,212412703,-,0.228571428571429,64.86,0.84,0.34,0.320691,0,0,0,0,0,0,no_match
bins_512698,ancestral_repeat,chr1,107980752,107980808,+,0.192982456140351,32.95,0.26,-0.00,0,0,0,0,0,0,0,no_match
bins_426842,ancestral_repeat,chr1,88547181,88547274,+,0.361702127659574,70.21,-2.66,0.34,0.524142,0,0,0,50.0357142857143,80.1309523809524,29.8690476190476,no_match
bins_13159232,ancestral_repeat,chr1,98975050,98975168,-,0.369747899159664,37.32,-0.09,0.21,0.543944,0.030444,0,0,72.25,55.25,98,no_match
bins_12767673,three_prime_UTR,chr1,20681838,20681907,-,0.357142857142857,66.22,-1.06,0.06,0,13.860017,1.489,64.001,18.125,5121.46428571429,618.732142857143,no_match
bins_634430,ancestral_repeat,chr1,155239503,155239639,+,0.386861313868613,60.58,-1.09,0.28,0.282271,0.169184,0,0,0,0,0,no_match
bins_13551124,exon_CCDS,chr1,203333073,203333168,-,0.552083333333333,89.58,-1.89,0.71,0.626256,0.289415,0,0,1013.4375,1895.5625,697.552083333333,no_match
bins_13341931,three_prime_UTR,chr1,161090715,161090781,-,0.313432835820896,57.97,0.59,0.05,0,0,0,0,68.9166666666667,28.8611111111111,80.3055555555556,no_match
bins_588061,ancestral_repeat,chr1,143710291,143710367,+,0.532467532467532,48.45,-1.28,0.26,0,0.099155,0,0,0,0,0,no_match
bins_419947,ancestral_repeat,chr1,87729447,87729538,+,0.380434782608696,56.25,0.09,0.34,0.401778,0,0,0,0,0,0,no_match
bins_13146416,ancestral_repeat,chr1,96885971,96886086,-,0.344827586206897,63.79,0.78,0.38,0.354288,0,0,0,6.625,56.375,52.625,no_match
bins_746487,three_prime_UTR,chr1,177153131,177153232,+,0.235294117647059,67.65,-0.11,0.23,0.523282,0.250126,1.022,11.606,450.64,263.51,71.58,no_match
bins_530841,ancestral_repeat,chr1,111124236,111124356,+,0.43801652892562,48.76,-1.80,0.21,0.397867,0,0,0,0,0,0,no_match
bins_145062,ancestral_repeat,chr1,34464183,34464322,+,0.421428571428571,68.57,-1.33,0.60,0.510427,0,0,0,0,0,0,no_match
bins_214791,ancestral_repeat,chr1,48135174,48135323,+,0.426666666666667,61.33,-1.20,0.53,0.59188,0.021693,0,0,0,0,0,no_match
bins_522401,three_prime_UTR,chr1,110004479,110004608,+,0.546153846153846,36.43,-2.15,0.21,0.244304,0.303911,0,0,244.663793103448,58.5258620689655,37.2586206896552,no_match
bins_417720,ancestral_repeat,chr1,87460973,87461058,+,0.244186046511628,62.50,0.60,-0.00,0,0,0,0,0,0,0,no_match
bins_13669791,three_prime_UTR,chr1,229535708,229535838,-,0.320610687022901,51.45,-0.37,0.16,0.386783,0.370080,0,0,231.814516129032,418.161290322581,155.491935483871,no_match
bins_13299473,five_prime_UTR,chr1,151848010,151848136,-,0.566929133858268,71.53,-0.48,0.50,0.501887,2.389590,0.821,35.276,207.808333333333,870.6,217.275,no_match
bins_13089957,three_prime_UTR,chr1,85556852,85556986,-,0.414814814814815,66.20,0.47,0.56,0.777946,8.435099,0.772,72.090,117.782258064516,3013.81451612903,365.072580645161,no_match
bins_13452066,three_prime_UTR,chr1,181882009,181882117,-,0.238532110091743,59.63,0.23,0.14,0.548382,0,0,0,40.7976190476191,42.8809523809524,51.6666666666667,no_match
bins_12728295,three_prime_UTR,chr1,11090056,11090141,-,0.441860465116279,66.28,-1.61,0.41,0,2.905466,0,0,368.916666666667,958.702380952381,129.797619047619,no_match
bins_13130,three_prime_UTR,chr1,3340533,3340649,+,0.564102564102564,52.38,-2.22,0.46,0.353188,0.128743,0,0,20.4732142857143,37.1160714285714,33.2857142857143,no_match
bins_12719394,ancestral_repeat,chr1,9209856,9209921,-,0.363636363636364,63.64,-0.13,0.55,0.318982,0,0,0,0,0,0,no_match
bins_659173,five_prime_UTR,chr1,160868807,160868926,+,0.508333333333333,95.00,-1.28,0.89,1.02842,0.103146,0,0,71.0086206896552,60.2758620689655,80.2758620689655,no_match
bins_786363,five_prime_UTR,chr1,184611620,184611744,+,0.584,66.67,0.29,0.51,0.661467,0.548408,0,0,1955.91666666667,1280.34523809524,855.940476190476,no_match
bins_206530,ncRNA_3019,chr1,46694093,46694163,+,0.633802816901408,70.42,-0.42,0.64,0.413235,0.026581,0,0,71.5416666666667,113.861111111111,103.541666666667,no_match
bins_13455895,ancestral_repeat,chr1,182473174,182473311,-,0.384057971014493,58.00,-0.80,0.45,0.343103,0,0,0,0,0,0,no_match
bins_1042146,ancestral_repeat,chr1,244123122,244123270,+,0.38255033557047,55.03,-0.18,0.23,0.526985,0.028360,0,0,0,0,0,no_match
bins_12752960,three_prime_UTR,chr1,17606665,17606780,-,0.46551724137931,54.70,1.17,0.29,0.555759,10.171134,0,0,2275.79733333333,5268.86955555556,1135.70033333333,no_match
bins_13401204,ancestral_repeat,chr1,172891089,172891228,-,0.378571428571429,60.00,0.16,0.42,0,0.003344,0,0,0,0,0,no_match
bins_12806452,ancestral_repeat,chr1,30059153,30059217,-,0.307692307692308,40.91,-0.37,0.23,0,0,0,0,0,0,0,no_match
bins_639975,exon_CCDS,chr1,157254843,157254992,+,0.353333333333333,66.00,1.00,0.65,0.892424,6.014195,0,0,3943.22794117647,11994.6441176471,1490.74264705882,no_match
bins_439374,ancestral_repeat,chr1,91201828,91201966,+,0.359712230215827,44.14,-1.68,0.24,0.346624,0.027420,0,0,0,0,0,no_match
bins_181257,ancestral_repeat,chr1,41376915,41376999,+,0.352941176470588,67.06,-0.55,-0.00,0,0.089680,0,0,0,0,0,no_match
bins_12696746,exon_CCDS,chr1,3732160,3732300,-,0.49645390070922,80.28,-0.69,0.76,1.29547,0.844921,0,0,992.409090909091,705.545454545455,243.909090909091,no_match
bins_13329746,three_prime_UTR,chr1,158525798,158525922,-,0.376,51.85,0.16,0.29,0.462874,6.128147,0.834,7.474,2622.41379310345,9540.66206896552,920.922413793103,no_match
bins_196615,exon_CCDS,chr1,44174389,44174463,+,0.8,74.67,0.93,0.31,0,0.681449,0,0,409,65.375,125.625,no_match
bins_565469,five_prime_UTR,chr1,117711883,117712005,+,0.520325203252033,62.88,0.54,0.46,0.403944,0.757839,0,0,1725.05357142857,1281.375,698.741071428571,no_match
bins_811204,ancestral_repeat,chr1,191656031,191656157,+,0.283464566929134,65.35,0.26,0.15,0.169855,0.103697,0,0,0,0,0,no_match
bins_13291343,three_prime_UTR,chr1,149998861,149998967,-,0.476635514018692,40.34,0.51,0.10,0.468518,5.465645,0,0,1919.14423076923,6366.40384615385,346.644230769231,no_match
bins_872457,three_prime_UTR,chr1,203767961,203768077,+,0.623931623931624,66.10,-2.60,0.52,0.446293,1.263428,0,0,369.053571428571,1228.875,96.7678571428571,no_match
bins_13237999,three_prime_UTR,chr1,116181605,116181730,-,0.46031746031746,62.22,-1.35,0.37,0.554484,0.054896,0,0,36.1166666666667,95.025,81.0916666666667,no_match
bins_194929,exon_CCDS,chr1,43856120,43856190,+,0.676056338028169,69.01,-1.28,0.49,0.566585,7.139779,0,0,226.184210526316,2140.81578947368,739.473684210526,no_match
bins_842124,exon_CCDS,chr1,199085242,199085359,+,0.466101694915254,85.59,-1.48,0.80,0.633252,0.549489,0,0,1801.36206896552,4951.29310344828,2453.55172413793,no_match
bins_12818341,three_prime_UTR,chr1,33247927,33248041,-,0.51304347826087,35.29,-0.18,0.18,0,9.107714,0.906,8.124,1567.44444444444,5865.31481481481,1150.72222222222,no_match
bins_13711022,five_prime_UTR,chr1,241455114,241455207,-,0.468085106382979,95.74,-0.29,0.98,0.805306,0.611192,0,0,2113.22916666667,2220.64583333333,972.104166666667,no_match
bins_12781303,exon_CCDS,chr1,23683107,23683242,-,0.75,80.71,1.50,0.72,0.755792,0.655587,0,0,515.827586206897,801.715517241379,619.594827586207,no_match
bins_13722277,ancestral_repeat,chr1,243893323,243893461,-,0.330935251798561,74.83,-0.07,0.36,0.522518,0.025003,0,0,387.1875,129.270833333333,28.9583333333333,no_match
bins_63620,three_prime_UTR,chr1,15557180,15557329,+,0.346666666666667,77.33,0.29,0.68,1.02677,0.139415,0,0,141.370967741935,37.5887096774194,29.2661290322581,no_match
bins_12941675,exon_CCDS,chr1,57187943,57188051,-,0.302752293577982,72.48,-1.15,0.48,0.742274,0.039093,0,0,402.776315789474,398.710526315789,73.1842105263158,no_match
bins_13147993,ancestral_repeat,chr1,97198499,97198601,-,0.388349514563107,66.96,-0.97,0.16,0,0,0,0,0,0,0,no_match
bins_13590481,ncRNA_3019,chr1,210707577,210707686,-,0.4,50.88,0.20,0.03,0.336085,0,0,0,99.7222222222222,71.4074074074074,84.962962962963,no_match
bins_13630039,exon_CCDS,chr1,218262389,218262491,-,0.368932038834951,92.23,0.40,0.92,0.866312,4.196830,0,0,4349.28,8329.604,3058.36,no_match
bins_13002128,exon_CCDS,chr1,67242609,67242733,-,0.456,89.60,0.64,0.84,1.00893,0.407736,0,0,467.077586206897,761.801724137931,249.991379310345,no_match
bins_40879,five_prime_UTR,chr1,9926060,9926152,+,0.666666666666667,67.74,-0.33,0.40,0.55654,0.226776,3.362,85.086,138.630434782609,144.847826086957,106.739130434783,no_match
bins_13288827,exon_CCDS,chr1,149429171,149429247,-,0.701298701298701,90.91,-0.04,0.79,0.626994,3.288086,0,0,1725.35526315789,5962.98684210526,1414.23684210526,24;
bins_701196,ancestral_repeat,chr1,168566824,168566956,+,0.300751879699248,60.96,-1.05,0.36,0.355971,0,0,0,0,0,0,no_match
bins_951244,exon_CCDS,chr1,218893185,218893310,+,0.492063492063492,84.13,-0.01,0.60,1.14703,0.926486,0,0,55.1166666666667,380.133333333333,130.016666666667,no_match
bins_190643,ancestral_repeat,chr1,43145766,43145873,+,0.453703703703704,59.65,-0.66,0.41,0.586756,0.007525,0,0,0,0,0,no_match
bins_13443210,ancestral_repeat,chr1,180169163,180169297,-,0.385185185185185,34.27,-0.85,0.42,0.259702,0,0,0,0,0,0,no_match
bins_13655544,three_prime_UTR,chr1,224400663,224400776,-,0.464912280701754,82.46,-2.43,0.44,0.785836,1.449472,0,0,1391.50925925926,7066.2037037037,1697.55555555556,no_match
bins_522320,ancestral_repeat,chr1,109992419,109992566,+,0.351351351351351,55.70,-0.50,0.34,0.504488,0.020025,0,0,0,0,0,no_match
bins_236781,exon_CCDS,chr1,53218720,53218807,+,0.397727272727273,84.09,0.03,0.84,0.81936,1.603133,0,0,286.306818181818,1161.11363636364,259.75,no_match
bins_135853,three_prime_UTR,chr1,33094483,33094592,+,0.463636363636364,46.32,-0.68,0.38,0.656304,0.547799,0,0,1038.44791666667,1139.38541666667,257.75,no_match
bins_822256,exon_CCDS,chr1,195186673,195186795,+,0.414634146341463,70.63,-1.03,0.42,0.937279,0.116557,0,0,198.364285714286,142.210714285714,87.3571428571429,no_match
bins_13033601,exon_CCDS,chr1,74948425,74948551,-,0.37007874015748,83.59,-2.40,0.79,0.884077,1.852506,0.821,39.933,2135.99166666667,8399.84166666667,482.266666666667,no_match
bins_12787852,ancestral_repeat,chr1,25372247,25372322,-,0.434210526315789,53.75,-1.26,0.21,0,0,0,0,278.5,45,51.375,no_match
bins_12896682,ancestral_repeat,chr1,48179474,48179538,-,0.476923076923077,46.27,-0.51,0.12,0,0,0,0,0,0,0,no_match
bins_768050,exon_CCDS,chr1,181468546,181468664,+,0.487394957983193,70.25,-1.72,0.55,0.602135,0.688916,0,0,95.625,8695.0625,4279.55714285714,no_match
bins_569222,ancestral_repeat,chr1,118370360,118370446,+,0.390804597701149,68.18,-0.46,0.43,0.472279,0,0,0,32.5681818181818,49.1931818181818,45.4318181818182,no_match
bins_13236145,ancestral_repeat,chr1,115868638,115868782,-,0.4,71.92,0.63,0.56,0.753615,0.041844,0,0,100.587121212121,66.2386363636364,60.1098484848485,no_match
bins_307582,exon_CCDS,chr1,64872353,64872502,+,0.48,85.33,-0.23,0.81,1.04887,0.184690,0,0,139.666666666667,305.530303030303,138.295454545455,no_match
bins_614362,exon_CCDS,chr1,150999748,150999856,+,0.678899082568807,77.98,-0.79,0.64,0.82457,0,0,0,595.923076923077,627.75,239.173076923077,no_match
bins_13522739,five_prime_UTR,chr1,198856201,198856304,-,0.701923076923077,31.53,0.78,0.35,0.555027,0.753848,0,0,2350.07954545455,1424.78409090909,593.897727272727,no_match
bins_176026,ancestral_repeat,chr1,40146089,40146230,+,0.338028169014085,60.81,0.35,0.42,0.462095,0,0,0,0,0,0,no_match
bins_13059382,ncRNA_3019,chr1,80773211,80773331,-,0.28099173553719,60.80,-0.04,0.18,0,0,0,0,54.1379310344828,44.801724137931,41.1120689655172,no_match
bins_904772,five_prime_UTR,chr1,209499967,209500052,+,0.244186046511628,44.68,0.25,-0.00,0,0.062721,0,0,2807.625,3405.875,940.875,no_match
bins_13426991,ancestral_repeat,chr1,176893446,176893591,-,0.486301369863014,52.05,-1.69,0.32,0,0.023804,0,0,30.5357142857143,67.8928571428571,63.6785714285714,no_match
bins_686744,three_prime_UTR,chr1,165652293,165652405,+,0.495575221238938,88.50,-2.24,0.64,0.581921,0.384016,0.922,17.359,464.809523809524,902.880952380952,283.785714285714,no_match
bins_13514018,ancestral_repeat,chr1,197071636,197071709,-,0.486486486486487,64.86,0.30,0.35,0.44095,0,0,0,0,0,0,no_match
bins_12725378,exon_CCDS,chr1,10648018,10648100,-,0.710843373493976,84.34,1.01,0.41,0.692435,1.660383,0,0,148.147727272727,260.954545454545,130.511363636364,no_match
